module	GeneName
M1_1	CD38
M1_1	IGL@
M1_1	IGLL1
M1_1	TXNDC5
M1_1	LOC339562
M1_1	IGH@
M1_1	TRA1
M1_1	GGH
M1_1	C19orf10
M1_1	KIAA0101
M1_1	IGHG1
M1_1	IGLC2
M1_1	SEC11L3
M1_1	IGHG1
M1_1	IGKC
M1_1	IGHM
M1_1	EAF2
M1_1	LOC91316
M1_1	IGLC2
M1_1	ARMET
M1_1	IGHA2
M1_1	TXNDC7
M1_1	ITM2C
M1_1	RPN2
M1_1	IGHM
M1_1	IGKC
M1_1	LOC440871
M1_1	IGHG1
M1_1	MCM2
M1_1	IGHG1
M1_1	IGLC2
M1_1	IGH@
M1_1	IGLJ3
M1_1	KLHL14
M1_1	IGKC
M1_1	KIAA0746
M1_1	IGHM
M1_1	MGC27165
M1_1	IGL@
M1_1	IGHG1
M1_1	TRA1
M1_1	IGKV1D-13
M1_1	IGHG1
M1_1	IGHG1
M1_1	IGHM
M1_1	LOC388078
M1_1	IGHG1
M1_1	IGL@
M1_1	IGHG1
M1_1	MGC27165
M1_1	POU2AF1
M1_1	IGL@
M1_1	PACAP
M1_1	IGLJ3
M1_1	IGHM
M1_1	IGKC
M1_1	IGHD
M1_1	IGLC2
M1_1	IGJ
M1_2	GP1BA
M1_2	PTCRA
M1_2	TUBB1
M1_2	PTGS1
M1_2	FLJ11000
M1_2	FHL1
M1_2	TMEM40
M1_2	CALD1
M1_2	MFAP3L
M1_2	PF4V1
M1_2	PARVB
M1_2	RSU1
M1_2	SH3BGRL2
M1_2	PRTFDC1
M1_2	TGFB1I4
M1_2	WASF3
M1_2	P2RY12
M1_2	LTBP1
M1_2	PTGS1
M1_2	ITGA2B
M1_2	C6orf79
M1_2	RGS18
M1_2	Ells1
M1_2	ITGB3
M1_2	Gup1
M1_2	GP6
M1_2	MEIS1
M1_2	GAS2L1
M1_2	CLEC1B
M1_2	LY6G5C
M1_2	EGF
M1_2	ARHGAP21
M1_2	DNM3
M1_2	MGC13005
M1_2	FRMD3
M1_2	MLH3
M1_2	CMIP
M1_2	THBS1
M1_2	MYLK
M1_2	GNG11
M1_2	HIST1H2BE
M1_2	HIST1H2BD
M1_2	PPBP
M1_2	MGLL
M1_2	VCL
M1_2	C5orf4
M1_2	ACRBP
M1_2	PARVB
M1_2	GUCY1B3
M1_2	NGFRAP1
M1_2	PARVB
M1_2	TAL1
M1_2	CKLFSF5
M1_2	CA2
M1_2	MMRN1
M1_2	ARHGAP6
M1_2	SDPR
M1_2	SELP
M1_2	CLU
M1_2	DAB2
M1_2	H2BFS
M1_2	PLA2G12A
M1_2	GNAZ
M1_2	MMD
M1_2	ITGA2B
M1_2	RUFY1
M1_2	ALOX12
M1_2	HIST1H2BH
M1_2	CXCL5
M1_2	LOC388480
M1_2	SPARC
M1_2	JAM3
M1_2	ACRBP
M1_2	EHD3
M1_2	DAB2
M1_2	PGRMC1
M1_2	ZNF185
M1_2	RTN2
M1_2	HIST1H2BG
M1_2	FLJ00193
M1_2	PRUNE
M1_2	CDC14B
M1_2	MGC50844
M1_2	MLH3
M1_2	TPM1
M1_2	CLU
M1_2	TBXA2R
M1_2	NRGN
M1_2	GP1BB
M1_2	ITGB3
M1_2	KIAA0830
M1_2	PTGS1
M1_2	PGRMC1
M1_2	PF4
M1_2	LAPTM4B
M1_2	EHD3
M1_2	TPM1
M1_2	PRKAR2B
M1_2	PROS1
M1_2	XK
M1_2	HIST1H3H
M1_2	SDPR
M1_2	TUBB1
M1_2	MMD
M1_2	HIST1H2BK
M1_2	MYLK
M1_2	F13A1
M1_2	HIST2H2BE
M1_2	ITGB3
M1_2	CDC14B
M1_2	DAB2
M1_2	PTGS1
M1_2	C21orf7
M1_2	MGC13057
M1_2	PDLIM1
M1_3	IGHD
M1_3	PLEKHG1
M1_3	C13orf18
M1_3	ZDHHC23
M1_3	HLA-DOA
M1_3	MS4A1
M1_3	TCF4
M1_3	HTPAP
M1_3	SMC6L1
M1_3	IGHM
M1_3	RAM2
M1_3	MS4A1
M1_3	GNG7
M1_3	P2RX5
M1_3	GGA2
M1_3	FCRH1
M1_3	TCF4
M1_3	BANK1
M1_3	LOC283663
M1_3	FREB
M1_3	PALM2-AKAP2
M1_3	TCL1A
M1_3	OSBPL10
M1_3	BLK
M1_3	LAF4
M1_3	COBLL1
M1_3	BCL11A
M1_3	LOC283663
M1_3	MS4A1
M1_3	GNG7
M1_3	CD72
M1_3	PAWR
M1_3	HTPAP
M1_3	CD19
M1_3	FCGR2B
M1_3	C13orf18
M1_3	BCL11A
M1_3	PKIG
M1_3	VPREB3
M1_3	HLA-DOB
M1_3	FCER2
M1_3	LCN6
M1_3	HTPAP
M1_3	TCL1A
M1_3	IGHD
M1_3	BLR1
M1_3	FREB
M1_3	MYC
M1_3	SPAP1
M1_3	BRDG1
M1_3	FCRH1
M1_3	CD200
M1_3	SNX22
M1_3	PAX5
M1_3	SP140
M1_3	CD79A
M1_3	CYBASC3
M1_3	CD22
M1_3	STRBP
M1_3	SPIB
M1_3	BCNP1
M1_3	CD22
M1_3	MS4A1
M1_3	BANK1
M1_3	TPD52
M1_3	CD79B
M1_3	RALGPS2
M1_3	BLNK
M1_3	TM4SF13
M1_3	KIAA0125
M1_3	BCL11A
M1_3	RNGTT
M1_3	KIAA0350
M1_3	TLE1
M1_3	EBF
M1_3	STRBP
M1_4	RNPC1
M1_4	RBBP6
M1_4	GRPEL1
M1_4	PELI1
M1_4	RNF10
M1_4	LOC90637
M1_4	EPC1
M1_4	PTK9
M1_4	CDCA4
M1_4	PER1
M1_4	ZNF237
M1_4	TIPARP
M1_4	CCNL1
M1_4	TSPYL2
M1_4	GRINL1A
M1_4	KIAA0863
M1_4	MAFF
M1_4	PRO0149
M1_4	PTP4A1
M1_4	STRAP
M1_4	PURB
M1_4	PDE4B
M1_4	ERBP
M1_4	STCH
M1_4	BTG3
M1_4	TFRC
M1_4	FLJ20436
M1_4	PDE4D
M1_4	KIAA0063
M1_4	VTI1A
M1_4	SNF1LK
M1_4	DUSP8
M1_4	RNPC2
M1_4	Dlc2
M1_4	MNAB
M1_4	STK17B
M1_4	TNFAIP3
M1_4	HNRPC
M1_4	PDE4D
M1_4	KLHL15
M1_4	KIAA0863
M1_4	RGS1
M1_4	ATF4
M1_4	VIL2
M1_4	SNRPA1
M1_4	ZNF198
M1_4	CREM
M1_4	SF3A1
M1_4	CD83
M1_4	C20orf67
M1_4	DNAJB6
M1_4	C20orf111
M1_4	ETNK1
M1_4	C4orf15
M1_4	RNF139
M1_4	RNASEH1
M1_4	JUND
M1_4	SKP1A
M1_4	MECP2
M1_4	HNRPH3
M1_4	DKFZp586I1420
M1_4	NAP1L5
M1_4	G3BP2
M1_4	ARIH2
M1_4	ZNF331
M1_4	CUL1
M1_4	SBDS
M1_4	SC5DL
M1_4	PIGA
M1_4	IDI1
M1_4	C20orf67
M1_4	MAFK
M1_4	WASPIP
M1_4	KLHL7
M1_4	TNFAIP3
M1_4	LOC388796
M1_4	ARMC8
M1_4	MNAB
M1_4	ZNF331
M1_4	CREM
M1_4	SUI1
M1_4	DNAJB6
M1_4	NR4A2
M1_4	CYLD
M1_4	NR4A2
M1_4	PTS
M1_4	ASK
M1_4	PC4
M1_4	RNU71A
M1_4	JMY
M1_4	CG018
M1_4	SUI1
M1_4	DUSP5
M1_4	TLE1
M1_4	MGC4399
M1_4	PTP4A1
M1_4	ZNF331
M1_4	ILF3
M1_4	SON
M1_4	AP1GBP1
M1_4	ZNF394
M1_4	C20orf67
M1_4	EIF5
M1_4	ATF7IP2
M1_4	LOC285831
M1_4	ARPC5L
M1_4	LOC144438
M1_4	SUI1
M1_4	H3F3B
M1_4	KBTBD2
M1_4	CYLD
M1_4	PDE4D
M1_4	HSPA14
M1_4	HSPC128
M1_4	RNMT
M1_4	IDS
M1_4	MGC29814
M1_4	CSNK1E
M1_4	PPP1R16B
M1_4	IDI1
M1_4	RAD23B
M1_4	PDE4D
M1_4	ZNF295
M1_4	FLJ13149
M1_4	BTG3
M1_5	HCK
M1_5	DF
M1_5	SLC27A1
M1_5	AIF1
M1_5	LY86
M1_5	SLC15A3
M1_5	CD14
M1_5	NAGA
M1_5	EXT1
M1_5	LILRB2
M1_5	GLT25D1
M1_5	LILRB2
M1_5	TNFSF13
M1_5	LILRB1
M1_5	CD1D
M1_5	C1QR1
M1_5	NPL
M1_5	LST1
M1_5	TNFSF13B
M1_5	HOMER3
M1_5	SULT1A3
M1_5	GRN
M1_5	PGCP
M1_5	AIF1
M1_5	STAB1
M1_5	TPP1
M1_5	KYNU
M1_5	GRN
M1_5	TLR2
M1_5	GM2A
M1_5	PECAM1
M1_5	TGFBI
M1_5	FLJ11151
M1_5	LST1
M1_5	PPM1F
M1_5	PEA15
M1_5	CD86
M1_5	EMR2
M1_5	GNS
M1_5	CD163
M1_5	CPVL
M1_5	ANXA2
M1_5	GAA
M1_5	ZNF467
M1_5	C22orf9
M1_5	DMXL2
M1_5	FLJ10357
M1_5	CSPG2
M1_5	NKIRAS2
M1_5	DUSP3
M1_5	HRIHFB2122
M1_5	OS-9
M1_5	CRA
M1_5	PLXDC2
M1_5	FCGR2A
M1_5	S100A11
M1_5	EPB41L3
M1_5	PLXNB2
M1_5	NAGA
M1_5	LILRB3
M1_5	BLVRA
M1_5	IMPDH1
M1_5	GM2A
M1_5	CTSB
M1_5	CSTA
M1_5	ASGR1
M1_5	IGSF6
M1_5	CST3
M1_5	APLP2
M1_5	AIF1
M1_5	KIAA1598
M1_5	TNFSF13
M1_5	LST1
M1_5	PECAM1
M1_5	CUTL1
M1_5	PILRA
M1_5	SLC11A1
M1_5	PLXDC2
M1_5	LILRB3
M1_5	CTSS
M1_5	PPM1F
M1_5	EMILIN2
M1_5	HNMT
M1_5	VDR
M1_5	BLVRA
M1_5	CD86
M1_5	SIGLEC7
M1_5	SCPEP1
M1_5	TM4SF7
M1_5	LILRA1
M1_5	CSPG2
M1_5	PILRA
M1_5	APLP2
M1_5	CTNNA1
M1_5	CALML4
M1_5	LRPAP1
M1_5	CARD9
M1_5	SLC7A7
M1_5	HK3
M1_5	SULF2
M1_5	CTNNA1
M1_5	NCF2
M1_5	MYD88
M1_5	RNF130
M1_5	ASAHL
M1_5	SERPINA1
M1_5	ACPP
M1_5	FCN1
M1_5	EMR1
M1_5	LILRB1
M1_5	SLC22A18
M1_5	SLC2A6
M1_5	CTNNA1
M1_5	BCKDK
M1_5	DIAPH2
M1_5	GRN
M1_5	CENTA2
M1_5	LST1
M1_5	FXYD6
M1_5	RHOQ
M1_5	RAB31
M1_5	FLJ11151
M1_5	LILRA1
M1_5	SEMA4A
M1_5	KSR
M1_5	DHRS8
M1_5	NCF4
M1_5	SECTM1
M1_5	LGALS2
M1_5	TNFSF13
M1_5	C10orf11
M1_5	FLJ22662
M1_5	CTSB
M1_5	TNFSF13
M1_5	LILRA2
M1_5	TBXAS1
M1_5	EPB41L3
M1_5	LILRA2
M1_5	TNFRSF1B
M1_6	C15orf25
M1_6	TMEM1
M1_6	CHD1L
M1_6	ATF7IP
M1_6	PITPNB
M1_6	STK4
M1_6	CDS2
M1_6	SMG1
M1_6	METAP2
M1_6	AVO3
M1_6	TPCN1
M1_6	C10orf18
M1_6	YAF2
M1_6	SENP6
M1_6	FYCO1
M1_6	MAML2
M1_6	SDFR1
M1_6	CUGBP2
M1_6	KIAA0999
M1_6	PIAS2
M1_6	LOC440457
M1_6	RREB1
M1_6	BIRC6
M1_6	WNK1
M1_6	CDYL
M1_6	ARHGAP5
M1_6	AP3B1
M1_6	ZA20D3
M1_6	GARNL1
M1_6	SUV420H1
M1_6	PIK3C2A
M1_6	MAML2
M1_6	AKAP13
M1_6	SNRK
M1_6	USP15
M1_6	ANKRD11
M1_6	RAPGEF6
M1_6	ITSN2
M1_6	C21orf96
M1_6	NFATC3
M1_6	ZNF638
M1_6	PAPD4
M1_6	ARHGEF7
M1_6	NRD1
M1_6	DLGAP4
M1_6	TEX27
M1_6	PUM2
M1_6	LOC360030
M1_6	MBNL1
M1_6	PICALM
M1_6	KIAA1128
M1_6	USP34
M1_6	KIAA1040
M1_6	MBNL1
M1_6	FNBP1
M1_6	THRAP2
M1_6	AGTPBP1
M1_6	LAMB1
M1_6	PGF
M1_6	MBNL1
M1_6	CBR4
M1_6	TRIP12
M1_6	LOC284058
M1_6	EIF4A1
M1_6	FOXP1
M1_6	TGFBR1
M1_6	BCL11B
M1_6	PGK1
M1_6	SMARCC1
M1_6	RAD51L1
M1_6	C21orf96
M1_6	RPS27
M1_6	ARID1B
M1_6	VPS13C
M1_6	CAPN1
M1_6	CUGBP2
M1_6	SLC30A7
M1_6	FLJ21272
M1_6	SCC-112
M1_6	PIAS1
M1_6	GLMN
M1_6	UBE2E3
M1_6	EPS15
M1_6	USP34
M1_6	CUL1
M1_6	THRAP2
M1_6	PPP3CA
M1_6	CHR2SYT
M1_6	TEX27
M1_6	CSNK2A1
M1_6	UBE2E1
M1_6	TK2
M1_6	ZNF198
M1_6	DKFZP586B0319
M1_6	FBXL11
M1_6	RNASET2
M1_6	FLJ39739
M1_6	PCTK2
M1_6	MGC33214
M1_6	MLL3
M1_6	ZNF207
M1_6	ATP2C1
M1_6	FLJ13611
M1_6	WDR11
M1_7	ACTG1
M1_7	RPLP1
M1_7	GLTSCR2
M1_7	TPT1
M1_7	RPL17
M1_7	RPL12
M1_7	RPS20
M1_7	RPL10
M1_7	TPT1
M1_7	RPL10A
M1_7	RPL13A
M1_7	RPL3
M1_7	RPL4
M1_7	RPS2
M1_7	RPS27
M1_7	RPSA
M1_7	ACTB
M1_7	TPT1
M1_7	RPS3A
M1_7	RPS6
M1_7	RPL17
M1_7	RPL29
M1_7	GAPD
M1_7	TXNIP
M1_7	HLA-B
M1_7	RPL32
M1_7	RPS3A
M1_7	TPT1
M1_7	UBA52
M1_7	RPS3
M1_7	RPL3
M1_7	HLA-C
M1_7	RPS11
M1_7	RPL13
M1_7	RPS29
M1_7	RPL7A
M1_7	RPL13A
M1_7	RPS23
M1_7	CFL1
M1_7	RPS2
M1_7	RPL23A
M1_7	ACTG1
M1_7	RPS17
M1_7	SUI1
M1_7	RPL29
M1_7	EEF2
M1_7	RPS18
M1_7	RPL13A
M1_7	ACTG1
M1_7	HLA-B
M1_7	RPL21
M1_7	HLA-E
M1_7	B2M
M1_7	RPL13
M1_7	RPS17
M1_7	RPL23A
M1_7	RPL23A
M1_7	RPLP0
M1_7	RPL41
M1_7	RPL18A
M1_7	RPL22
M1_7	HNRPA1
M1_7	RPS16
M1_7	RPL37A
M1_7	RPLP0
M1_7	RPL22
M1_7	RPS12
M1_7	RPL4
M1_7	RPL13
M1_7	EEF1A1
M1_7	RPS14
M1_7	ACTG1
M1_7	RPL19
M1_7	ACTB
M1_7	RPL37
M1_7	RPL27A
M1_7	RPL39
M1_7	RPL34
M1_7	PABPC1
M1_7	RPL17
M1_7	HLA-A
M1_7	HLA-C
M1_7	RPS17
M1_7	RPL30
M1_7	RPLP0
M1_7	RPL13A
M1_7	RPL9
M1_7	RPS10
M1_7	ACTG1
M1_7	RPLP0
M1_7	EEF1A1
M1_7	H3F3A
M1_7	RPL31
M1_7	EEF1G
M1_7	RPS4X
M1_7	RPS15
M1_7	RPL12
M1_7	HLA-G
M1_7	RPS24
M1_7	RPS16
M1_7	RPL3
M1_7	EEF1A1
M1_7	UBC
M1_7	ACTG1
M1_7	B2M
M1_7	EEF1A1
M1_7	RPL24
M1_7	TMSB10
M1_7	RPS4X
M1_7	RPS10
M1_7	RPL23A
M1_7	RPL7
M1_7	EEF1G
M1_7	RPS3A
M1_7	RPS13
M1_7	RPL13
M1_7	HSPC016
M1_7	ACTG1
M1_7	FTL
M1_7	HLA-B
M1_7	EEF1G
M1_7	RPS6
M1_7	RPS15A
M1_7	RPL38
M1_7	RPS28
M1_8	MTO1
M1_8	SMARCA3
M1_8	FLJ44216
M1_8	CBR4
M1_8	HAN11
M1_8	KIAA0859
M1_8	RBM30
M1_8	GIMAP6
M1_8	RNUT1
M1_8	KIAA1387
M1_8	JRKL
M1_8	WDR36
M1_8	AGGF1
M1_8	USP49
M1_8	FLJ10652
M1_8	GIMAP8
M1_8	KIAA1698
M1_8	ZNF189
M1_8	SMILE
M1_8	MRPL18
M1_8	SON
M1_8	NAT1
M1_8	ZCWCC1
M1_8	VDP
M1_8	RSBN1L
M1_8	GLS
M1_8	USP19
M1_8	DBR1
M1_8	GTF2A1
M1_8	EIF4ENIF1
M1_8	NUDCD3
M1_8	MTO1
M1_8	MTO1
M1_8	ZNF232
M1_8	FPGT
M1_8	PIK3R4
M1_8	KIAA1935
M1_8	MKKS
M1_8	CLPX
M1_8	C20orf158
M1_8	C6orf33
M1_8	HSMPP8
M1_8	KIAA0853
M1_8	SLC26A2
M1_8	ZNF202
M1_8	LOC285636
